id,source,target,relation,evidence,evidence_url,evidence_locator,epistemic_status,evidence_file,evidence_page
e1,author:chen-tianping,chen-1995,authored,Author listed in primary bibliographic metadata or PDF.,https://pubmed.ncbi.nlm.nih.gov/18263379/,citation_author metadata / paper byline,documented,,
e2,author:chen-hong,chen-1995,authored,Author listed in primary bibliographic metadata or PDF.,https://pubmed.ncbi.nlm.nih.gov/18263379/,citation_author metadata / paper byline,documented,,
e3,chen-1995,field:operator-learning,classified_in,Early neural-network approximation theorem for nonlinear operators.,https://pubmed.ncbi.nlm.nih.gov/18263379/,Curated classification based on abstract and stated task,curated_classification,,
e4,chen-1995,field:theory,classified_in,Early neural-network approximation theorem for nonlinear operators.,https://pubmed.ncbi.nlm.nih.gov/18263379/,Curated classification based on abstract and stated task,curated_classification,,
e5,author:barrault-maxime,eim-2004,authored,Author listed in primary bibliographic metadata or PDF.,https://www.mit.edu/~cuongng/publication/pub1/,citation_author metadata / paper byline,documented,,
e6,author:maday-yvon,eim-2004,authored,Author listed in primary bibliographic metadata or PDF.,https://www.mit.edu/~cuongng/publication/pub1/,citation_author metadata / paper byline,documented,,
e7,author:nguyen-ngoc-cuong,eim-2004,authored,Author listed in primary bibliographic metadata or PDF.,https://www.mit.edu/~cuongng/publication/pub1/,citation_author metadata / paper byline,documented,,
e8,author:patera-anthony-t,eim-2004,authored,Author listed in primary bibliographic metadata or PDF.,https://www.mit.edu/~cuongng/publication/pub1/,citation_author metadata / paper byline,documented,,
e9,eim-2004,field:quadrature,classified_in,Builds a reduced representation of parameter-dependent functions using selected evaluation points.,https://www.mit.edu/~cuongng/publication/pub1/,Curated classification based on abstract and stated task,curated_classification,,
e10,eim-2004,field:hyper-reduction,classified_in,Builds a reduced representation of parameter-dependent functions using selected evaluation points.,https://www.mit.edu/~cuongng/publication/pub1/,Curated classification based on abstract and stated task,curated_classification,,
e11,author:chaturantabut-saifon,deim-2009,authored,Author listed in primary bibliographic metadata or PDF.,https://laertes.caam.rice.edu/tech_reports/2009/TR09-05.pdf,citation_author metadata / paper byline,documented,,
e12,author:sorensen-danny-c,deim-2009,authored,Author listed in primary bibliographic metadata or PDF.,https://laertes.caam.rice.edu/tech_reports/2009/TR09-05.pdf,citation_author metadata / paper byline,documented,,
e13,deim-2009,field:hyper-reduction,classified_in,Uses a reduced basis and selected entries to cheaply approximate nonlinear terms.,https://laertes.caam.rice.edu/tech_reports/2009/TR09-05.pdf,Curated classification based on abstract and stated task,curated_classification,,
e14,deim-2009,field:sampling,classified_in,Uses a reduced basis and selected entries to cheaply approximate nonlinear terms.,https://laertes.caam.rice.edu/tech_reports/2009/TR09-05.pdf,Curated classification based on abstract and stated task,curated_classification,,
e15,author:candes-emmanuel,stable-cs-2005,authored,Author listed in primary bibliographic metadata or PDF.,https://arxiv.org/abs/math/0503066,citation_author metadata / paper byline,documented,,
